time,w,x,y,z,wx,wy,wz,angleError
116.00000,-1.00000,0.00000,0.00096,0.00000,0.00000,37.90098,0.00000,1.57272
117.00000,-0.05365,0.00000,-0.99856,0.00000,0.00000,37.90593,0.00000,1.46345
118.00000,0.99435,0.00000,-0.10618,0.00000,0.00000,37.91063,0.00000,1.78356
119.00000,0.15841,0.00000,0.98737,0.00000,0.00000,37.91510,0.00000,1.25263
120.00000,-0.97766,0.00000,0.21020,0.00000,0.00000,37.91935,0.00000,1.99435
121.00000,-0.26139,0.00000,-0.96523,0.00000,0.00000,37.92338,0.00000,1.04186
122.00000,0.95013,0.00000,-0.31186,0.00000,0.00000,37.92721,0.00000,2.20510
123.00000,0.36146,0.00000,0.93239,0.00000,0.00000,37.93085,0.00000,0.83114
124.00000,-0.91207,0.00000,0.41004,0.00000,0.00000,37.93431,0.00000,2.41580
125.00000,-0.45749,0.00000,-0.88921,0.00000,0.00000,37.93759,0.00000,0.62045
126.00000,0.86390,0.00000,-0.50367,0.00000,0.00000,37.94071,0.00000,2.62647
127.00000,0.54844,0.00000,0.83619,0.00000,0.00000,37.94368,0.00000,0.40980
128.00000,-0.80616,0.00000,0.59169,0.00000,0.00000,37.94649,0.00000,2.83711
129.00000,-0.63330,0.00000,-0.77391,0.00000,0.00000,37.94917,0.00000,0.19918
130.00000,0.73951,0.00000,-0.67315,0.00000,0.00000,37.95171,0.00000,3.04771
131.00000,0.71113,0.00000,0.70306,0.00000,0.00000,37.95413,0.00000,0.01141
132.00000,-0.66467,0.00000,0.74714,0.00000,0.00000,37.95642,0.00000,3.02489
133.00000,-0.78108,0.00000,-0.62444,0.00000,0.00000,37.95860,0.00000,0.22198
134.00000,0.58248,0.00000,-0.81285,0.00000,0.00000,37.96067,0.00000,2.81434
135.00000,0.84237,0.00000,0.53890,0.00000,0.00000,37.96263,0.00000,0.43252
136.00000,-0.49384,0.00000,0.86955,0.00000,0.00000,37.96450,0.00000,2.60380
137.00000,-0.89433,0.00000,-0.44742,0.00000,0.00000,37.96628,0.00000,0.64305
138.00000,0.39975,0.00000,-0.91662,0.00000,0.00000,37.96796,0.00000,2.39329
139.00000,0.93638,0.00000,0.35098,0.00000,0.00000,37.96957,0.00000,0.85355
140.00000,-0.30125,0.00000,0.95355,0.00000,0.00000,37.97109,0.00000,2.18279
141.00000,-0.96807,0.00000,-0.25068,0.00000,0.00000,37.97253,0.00000,1.06404
142.00000,0.19941,0.00000,-0.97992,0.00000,0.00000,37.97391,0.00000,1.97231
143.00000,0.98905,0.00000,0.14760,0.00000,0.00000,37.97521,0.00000,1.27451
144.00000,-0.09538,0.00000,0.99544,0.00000,0.00000,37.97645,0.00000,1.76185
145.00000,-0.99908,0.00000,-0.04290,0.00000,0.00000,37.97763,0.00000,1.48497
146.00000,-0.00970,0.00000,-0.99995,0.00000,0.00000,37.97875,0.00000,1.55139
147.00000,0.99806,0.00000,-0.06227,0.00000,0.00000,37.97981,0.00000,1.69542
148.00000,0.11467,0.00000,0.99340,0.00000,0.00000,37.98082,0.00000,1.34095
149.00000,-0.98600,0.00000,0.16675,0.00000,0.00000,37.98178,0.00000,1.90586
150.00000,-0.21836,0.00000,-0.97587,0.00000,0.00000,37.98269,0.00000,1.13052
